user_id,group,day,session,block_id,abs_accuracy,abs_resptime,abs_focus,abs_anxiety,rela_0_accuracy,rela_0_resptime,rela_1_accuracy,rela_1_resptime,rela_focus,rela_anxiety
30.0,static,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
30.0,static,d2,formal,1,1.0,5.32866126,7.0,2.0,,,0.0,0.0,0.0,0.0
30.0,static,d2,formal,2,1.0,4.94053671,7.0,2.5,,,0.0,-0.07283716,0.0,0.5
30.0,static,d2,formal,3,1.0,5.8101725,6.0,2.0,,,0.0,0.09036252,-1.0,0.0
30.0,static,d2,formal,4,1.0,4.77005561,7.0,2.5,,,0.0,-0.10483039,0.0,0.5
30.0,static,d2,formal,5,1.0,5.25788477,6.5,2.0,,,0.0,-0.01328223,-0.5,0.0
31.0,static,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
31.0,static,d1,formal,1,0.98305085,7.40028023,5.01694915,3.98305085,,,0.0,0.0,0.0,0.0
31.0,static,d1,formal,2,1.0,7.20854518,6.5,2.5,,,0.01724138,-0.02590916,1.48305085,-1.48305085
31.0,static,d1,formal,3,0.96666667,7.1355094,5.5,2.0,,,-0.01666667,-0.03577849,0.48305085,-1.98305085
31.0,static,d1,formal,4,0.93333333,7.01434186,4.0,2.5,,,-0.05057472,-0.05215186,-1.01694915,-1.48305085
31.0,static,d1,formal,5,1.0,6.47710728,4.0,3.0,,,0.01724138,-0.12474838,-1.01694915,-0.98305085
31.0,static,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
31.0,static,d2,formal,1,1.0,6.22431931,5.0,2.98305085,,,0.0,0.0,0.0,0.0
31.0,static,d2,formal,2,0.95,6.36483786,4.0,3.5,,,-0.05,0.02257573,-1.0,0.51694915
31.0,static,d2,formal,3,1.0,5.88726527,5.5,3.5,,,0.0,-0.05415115,0.5,0.51694915
31.0,static,d2,formal,4,0.96666667,6.00376832,4.0,2.0,,,-0.03333333,-0.03543375,-1.0,-0.98305085
31.0,static,d2,formal,5,1.0,6.05974885,4.5,2.5,,,0.0,-0.02643991,-0.5,-0.48305085
7.0,random,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
7.0,random,d1,formal,1,0.96666667,4.72232772,5.0,2.5,,,0.0,0.0,0.0,0.0
7.0,random,d1,formal,2,0.93333333,4.11884222,5.0,2.0,,,-0.03448277,-0.12779407,0.0,-0.5
7.0,random,d1,formal,3,0.91666667,4.20386511,5.0,2.0,,,-0.05172414,-0.10978963,0.0,-0.5
7.0,random,d1,formal,4,0.83333333,3.87045294,6.0,1.0,,,-0.13793104,-0.18039298,1.0,-1.5
